"name","last_name","first_name","graduation_date","rank_at_graduation","class","graduated_from","pilot_type","military_hometown_of_record","state","aerial_victory_credits","number_of_aerial_victory_credits","reported_lost","reported_lost_date","reported_lost_location","web_profile"
"Liggins, Wayne V.","Liggins","Wayne V.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Springfield","OH",,0,,,,
"Lindsey, Perry W.","Lindsey","Perry W.",1945-10-16,"2nd Lt","TE-45-G","TAAF","Twin engine","New Albany","IN",,0,,,,
"Lockett, Claybourne A.","Lockett","Claybourne A.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Long, Clyde C., Jr.","Long","Clyde C., Jr.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Itasca","TX",,0,,,,
"Long, Wendell W.","Long","Wendell W.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Champaign-Urbana","IL",,0,,,,
"Long, Wilbur F.","Long","Wilbur F.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","New Rochelle","NY",,0,,,,"https://cafriseabove.org/wilbur-f-long/"
"Love, Thomas W., Jr.","Love","Thomas W., Jr.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Ardmore","PA",,0,,,,
"Lucas, Wendell M.","Lucas","Wendell M.",1944-05-23,"1st Lt","SE-44-E","TAAF","Single engine","Fairmont Hts.","MD",,0,,,,"https://cafriseabove.org/wendell-m-lucas/"
"Lyle, John H.","Lyle","John H.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Chicago","IL","Downed 1 Me-109 on March 31, 1945",1,,,,
"Lyle, Payton H.","Lyle","Payton H.",1944-03-12,"1st Lt","TE-44-C","TAAF","Twin engine","Chicago","IL",,0,,,,
"Lynch, George A.","Lynch","George A.",1944-06-27,"Flight Officer","SE-44-F","TAAF","Single engine","Valley Stream","NY",,0,,,,
"Lynch, Lewis J.","Lynch","Lewis J.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Columbus","OH",,0,,,,
"Lynn, Samuel","Lynn","Samuel",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Jamaica","NY",,0,,,,
"Macon, Richard D.","Macon","Richard D.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Birmingham","AL",,0,,,,"https://cafriseabove.org/capt-richard-d-macon/"
"Manley, Edward E.","Manley","Edward E.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Mann, Hiram E.","Mann","Hiram E.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Cleveland","OH",,0,,,,"https://cafriseabove.org/hiram-e-mann/"
"Manning, Albert H.","Manning","Albert H.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Hartsville","SC",,0,,,,
"Manning, Walter P.","Manning","Walter P.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Philadelphia","PA","Downed 1 Fw-190 on April 1, 1945",1,,,,
"Maples, Andrew, Jr.","Maples","Andrew, Jr.",1943-01-14,"2nd Lt","SE-43-A","TAAF","Single engine","Orange","VA",,0,,,,"https://cafriseabove.org/andrew-maples-jr/"
"Maples, Harold B.","Maples","Harold B.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Orange","VA",,0,,,,
"Marshall, Andrew D.","Marshall","Andrew D.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Wadesboro","NC",,0,,,,"https://cafriseabove.org/andrew-d-marshall/"
"Martin, August J.","Martin","August J.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Bronx","NY",,0,,,,
"Martin, George H. O.","Martin","George H. O.",1948-10-12,"1st Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Martin, Maceo Conrad, Jr.","Martin","Maceo Conrad, Jr.",1946-05-14,"Flight Officer","SE-46-B","TAAF","Single engine","Unknown",,,0,,,,
"Martin, Robert L.","Martin","Robert L.",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Dubuque","IA",,0,,,,"https://cafriseabove.org/robert-l-martin/"
"Masciana, Andrea P.","Masciana","Andrea P.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Washington","DC",,0,,,,
"Mason, James W.","Mason","James W.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Monroe","LA",,0,,,,
"Mason, Ralph W.","Mason","Ralph W.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Detroit","MI",,0,,,,
"Mason, Theodore O.","Mason","Theodore O.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Cadiz","OH",,0,,,,
"Mason, Thurston","Mason","Thurston",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Mason, Vincent J.","Mason","Vincent J.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Orange","NJ",,0,,,,
"Matthews, Charles R.","Matthews","Charles R.",1946-03-23,"2nd Lt","TE-46-A","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Matthews, George B.","Matthews","George B.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Matthews, Samuel","Matthews","Samuel",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Birmingham","AL",,0,,,,
"Mattison, William T.","Mattison","William T.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Conway","AR",,0,,,,
"Maxwell, Charles C.","Maxwell","Charles C.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","New York","NY",,0,,,,
"Maxwell, Robert L.","Maxwell","Robert L.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Bronx","NY",,0,,,,
"May, Cornelius F.","May","Cornelius F.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Indianapolis","IN",,0,,,,
"McCarroll, Rixie H.","McCarroll","Rixie H.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Gary","IN",,0,,,,
"McClelland, Harvey L.","McClelland","Harvey L.",1945-03-11,"Flight Officer","TE-45-A","TAAF","Twin engine","Asheville","NC",,0,,,,
"McClenic, William B., Jr.","McClenic","William B., Jr.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Akron","OH",,0,,,,
"McClure, John H.","McClure","John H.",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Kokomo","IN",,0,,,,
"McCode, John E.","McCode","John E.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Houston","TX",,0,,,,
"McCoy, Andrew A., Jr.","McCoy","Andrew A., Jr.",1946-04-29,"2nd Lt",,"Stewart Field, NY","Single engine","Stewart Field","NY",,0,,,,
"McCreary, Walter L.","McCreary","Walter L.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","San Antonio","TX",,0,,,,"https://cafriseabove.org/walter-l-mccreary/"
"McCrory, Felix M.","McCrory","Felix M.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Yuma","AZ",,0,,,,
"McCrumby, George T.","McCrumby","George T.",1943-01-14,"2nd Lt","SE-43-A","TAAF","Single engine","Ft. Worth","TX",,0,,,,"https://cafriseabove.org/george-thomas-mccrumby/"
"McCullin, James L.","McCullin","James L.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","St. Louis","MO",,0,"Y",1943-07-02,"Over SW coast of Sicily","https://cafriseabove.org/james-lawrence-mccullin-jr/"
"McDaniel, Armour G.","McDaniel","Armour G.",1943-01-14,"2nd Lt","SE-43-A","TAAF","Single engine","Martinsville","VA","Downed 1 Me-109 on July 20, 1944",1,,,,"https://cafriseabove.org/armour-g-mcdaniel-sr/"
"McGarrity, Thomas Hamlin","McGarrity","Thomas Hamlin",1946-01-29,"2nd Lt","SE-45-I","TAAF","Single engine","Chicago","IL",,0,,,,
"McGee, Charles E.","McGee","Charles E.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Champaign","IL","Downed 1 Fw-190 on August 24, 1944",1,,,,"https://cafriseabove.org/charles-e-mcgee/"
"McGinnis, Faythe A.","McGinnis","Faythe A.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Muskogee","OK",,0,,,,"https://cafriseabove.org/faythe-andrew-mcginnis/"
"McIntyre, Clinton E.","McIntyre","Clinton E.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","Bronx","NY",,0,,,,
"McIntyre, Herbert A.","McIntyre","Herbert A.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Cleveland","OH",,0,,,,
"McIver, Frederick D., Jr.","McIver","Frederick D., Jr.",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Philadelphia","PA",,0,,,,
"McKeethen, Llyod B.","McKeethen","Llyod B.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","East Chicago","IL",,0,,,,
"McKenzie, Alfred U.","McKenzie","Alfred U.",1945-03-11,"Flight Officer","TE-45-A","TAAF","Twin engine","Washington","DC",,0,,,,
"McKnight, James W.","McKnight","James W.",1945-05-23,"2nd Lt","SE-45-C","TAAF","Single engine","Washington","DC",,0,,,,
"McLaurin, Eddie","McLaurin","Eddie",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Jackson","MS",,0,,,,
"McQuillan, Douglas H.","McQuillan","Douglas H.",1944-11-20,"Flight Officer","TE-44-I","TAAF","Twin engine","Brooklyn","NY",,0,,,,
"McRae, Ivan J., Jr.","McRae","Ivan J., Jr.",1944-12-28,"2nd Lt","TE-44-J","TAAF","Twin engine","Yonkers","NY",,0,,,,"https://cafriseabove.org/ivan-james-mcrae/"
"Melton, William R.","Melton","William R.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Merriweather, Elbert N., Jr.","Merriweather","Elbert N., Jr.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Brooklyn","NY",,0,,,,
"Merriweather, Robert O.","Merriweather","Robert O.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Birmingham","AL",,0,,,,
"Merton, Joseph L., Jr.","Merton","Joseph L., Jr.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Chicago","IL",,0,,,,
"Miller, Charles E.","Miller","Charles E.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Plainfield","NJ",,0,,,,
"Miller, George R.","Miller","George R.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","DesMoines","IA",,0,,,,
"Miller, Godfrey C.","Miller","Godfrey C.",1945-11-20,"2nd Lt","SE-45-H","TAAF","Single engine","Bloomington","IL",,0,,,,
"Miller, Lawrence I.","Miller","Lawrence I.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Miller, Oliver O.","Miller","Oliver O.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Battle Creek","MI",,0,,,,
"Miller, Willard B.","Miller","Willard B.",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Portland","OR",,0,,,,
"Millett, Joseph H.","Millett","Joseph H.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Mills, Clinton B.","Mills","Clinton B.",1943-01-14,"2nd Lt","SE-43-A","TAAF","Single engine","Durham","NC","Downed 1 Fw-190 on February 7, 1944",1,,,,
"Mills, Theodore H","Mills","Theodore H",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","New Rochelle","NY",,0,,,,
"Minor, James I., Jr.","Minor","James I., Jr.",1943-09-30,"1st Lt","CL-43-1","TAAF","Liaison pilot","Richmond","VA",,0,,,,
"Mitchell, James T., Jr.","Mitchell","James T., Jr.",1944-06-27,"Flight Officer","SE-44-F","TAAF","Single engine","Gadston","AL",,0,,,,
"Mitchell, Paul G.","Mitchell","Paul G.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Washington","DC",,0,,,,"https://cafriseabove.org/paul-graham-mitchell/"
"Mitchell, Vincent I.","Mitchell","Vincent I.",1944-04-15,"Flight Officer","SE-44-D","TAAF","Single engine","Mt. Clemens","MI",,0,,,,
"Moffett, Wilbur","Moffett","Wilbur",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Detroit","MI",,0,,,,
"Moody, Frank H.","Moody","Frank H.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Los Angeles","CA",,0,,,,"https://cafriseabove.org/frank-herman-moody/"
"Moody, Paul L.","Moody","Paul L.",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Cambridge","MA",,0,,,,
"Moody, Roland W.","Moody","Roland W.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Cambridge","MA",,0,,,,"https://cafriseabove.org/roland-w-moody/"
"Moore, Abe Benjamin","Moore","Abe Benjamin",1946-03-23,"Flight Officer","TE-46-A","TAAF","Twin engine","Austin","TX",,0,,,,
"Moore, Benjamin F.","Moore","Benjamin F.",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Ocilla","GA",,0,,,,
"Moore, Flarzell","Moore","Flarzell",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Chicago","IL",,0,,,,
"Moore, Theopolis D.","Moore","Theopolis D.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","St. Louis","MO",,0,,,,
"Moore, Willis E.","Moore","Willis E.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Moret, Adolph J., Jr.","Moret","Adolph J., Jr.",,"Flight Officer",,"TAAF","Service pilot","New Orleans","LA",,0,,,,
"Moret, Calvin G.","Moret","Calvin G.",1944-11-20,"Flight Officer","SE-44-I","TAAF","Single engine","New Orlenas","LA",,0,,,,
"Morgan, Dempsey W.","Morgan","Dempsey W.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Detroit","MI",,0,,,,"https://cafriseabove.org/dempsey-wesley-morgan-jr/"
"Morgan, John H.","Morgan","John H.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Cartersville","GA",,0,,,,"https://cafriseabove.org/john-henry-morgan/"
"Morgan, William B.","Morgan","William B.",1945-09-08,"Flight Officer","SE-45-F","TAAF","Single engine","Yukon","PA",,0,,,,"https://cafriseabove.org/dr-william-b-morgan/"
"Morgan, Woodrow F.","Morgan","Woodrow F.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Omaha","NE",,0,,,,"https://cafriseabove.org/woodrow-f-morgan/"
"Morris, Harold M.","Morris","Harold M.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Seattle","WA","Downed 1 Fw-190 on April 1, 1945",1,,,,
"Morrison, Thomas J., Jr.","Morrison","Thomas J., Jr.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Roxbury","MA",,0,,,,
"Moseley, Sidney J.","Moseley","Sidney J.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Norfolk","VA",,0,,,,
"Mosley, Clifford E.","Mosley","Clifford E.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Boston","MA",,0,,,,
"Mosley, John William","Mosley","John William",1944-08-04,"2nd Lt","TE-44-G","TAAF","Twin engine","Denver","CO",,0,,,,"https://cafriseabove.org/lt-col-john-william-mosley/"
"Moss, Richard Maurice","Moss","Richard Maurice",1946-05-14,"Unk","SE-46-B","TAAF","Single engine",,,,0,,,,
"Mozee, David M., Jr.","Mozee","David M., Jr.",1945-09-08,"Flight Officer","TE-45-F","TAAF","Twin engine","Chicago","IL",,0,,,,
"Mulzac, John Ira","Mulzac","John Ira",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Brooklyn","NY",,0,,,,"https://cafriseabove.org/john-ira-mulzac-sr/"
"Murdic, Robert J.","Murdic","Robert J.",1944-06-27,"Flight Officer","SE-44-F","TAAF","Single engine","Franklin","TN",,0,,,,
"Murphy, David J.","Murphy","David J.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","Whiteville","NC",,0,,,,
"Murray, Louis U.","Murray","Louis U.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Gary","IN",,0,,,,
"Myers, Charles P.","Myers","Charles P.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Indianapolis","IN",,0,,,,
"Nalle, Russell C., Jr.","Nalle","Russell C., Jr.",1944-09-08,"Flight Officer","TE-44-H","TAAF","Twin engine","Detroit","MI",,0,,,,
"Neblett, Nicholas S.","Neblett","Nicholas S.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Cincinnati","OH",,0,,,,"https://cafriseabove.org/nicholas-s-neblett/"
"Nelson, Dempsey, Jr.","Nelson","Dempsey, Jr.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Philadelphia","PA",,0,,,,"https://cafriseabove.org/dempsey-wesley-morgan-jr/"
"Nelson, John W.","Nelson","John W.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Bronx","NY",,0,,,,
"Nelson, Lincoln W.","Nelson","Lincoln W.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","San Diego","CA",,0,,,,
"Nelson, Neal V.","Nelson","Neal V.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Chicago","IL",,0,,,,"https://cafriseabove.org/neal-victor-nelson/"
"Nelson, Robert H.","Nelson","Robert H.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Newman, Christopher W.","Newman","Christopher W.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","St. Louis","MO",,0,,,,"https://cafriseabove.org/christopher-w-newman/"
"Newsum, Fitzroy","Newsum","Fitzroy",1943-12-05,"1st Lt","TE-43-K","TAAF","Twin engine","Brooklyn","NY",,0,,,,
"Nicholas, Pellissier C.","Nicholas","Pellissier C.",1944-02-08,"N/A","TE-44-B","TAAF","Twin engine","Port au Prince","Haiti",,0,,,,
"Nightingale, Elton H.","Nightingale","Elton H.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Tuskegee Inst.","AL",,0,,,,"https://cafriseabove.org/elton-h-nightingale/"
"Noches, Ramon F.","Noches","Ramon F.",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Junction City","KS",,0,,,,
"Norman, Henry A.","Norman","Henry A.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Gallipolis","OH",,0,,,,
"Norton, George G., Jr.","Norton","George G., Jr.",1945-04-15,"Flight Officer","TE-45-B","TAAF","Twin engine","St. Louis","MO",,0,,,,
"O'Neal, Walter N.","O'Neal","Walter N.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Cleveland","OH",,0,,,,
"O'Neil, Robert","O'Neil","Robert",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Detroit","MI",,0,,,,
"Oates, Horace W.","Oates","Horace W.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Tulsa","OK",,0,,,,
"Oliphant, Clarence A.","Oliphant","Clarence A.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Council Bluffs","IA",,0,,,,
"Oliver, Luther L.","Oliver","Luther L.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Montgomery","AL",,0,,,,
"Orduna, Ralph","Orduna","Ralph",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Omaha","NE",,0,,,,
"Page, Maurice R.","Page","Maurice R.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Palmer, Augustus L.","Palmer","Augustus L.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Newport News","VA",,0,,,,
"Palmer, Walter J. A.","Palmer","Walter J. A.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","New York","NY","Downed 1 Me-109 on July 18, 1944",1,,,,"https://cafriseabove.org/artifact/2-flight-jacket/"
"Parker, Frederick L., Jr.","Parker","Frederick L., Jr.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Chicago","IL",,0,,,,
"Parker, George J.","Parker","George J.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Youngstown","OH",,0,,,,
"Parker, Melvin","Parker","Melvin",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Baltimore","MD",,0,,,,
"Parkey, Robert M.","Parkey","Robert M.",1944-11-20,"Flight Officer","TE-44-I","TAAF","Twin engine","DesMoines","IA",,0,,,,
"Pasquet, Alex","Pasquet","Alex",1943-08-30,,"SE-43-H","TAAF","Single engine","Port au Prince","Haiti",,0,,,,
"Patton, Humprey C., Jr","Patton","Humprey C., Jr",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Washington","DC",,0,,,,
"Patton, Thomas G.","Patton","Thomas G.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","South Franklin","TN",,0,,,,
"Payne, Turner W.","Payne","Turner W.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Wichita Falls","TX",,0,,,,
"Payne, Verdelle L.","Payne","Verdelle L.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Mamaroneck","NY",,0,,,,
"Peirson, Gwynne W.","Peirson","Gwynne W.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Oakland","CA",,0,,,,
"Pendleton, Frederick D.","Pendleton","Frederick D.",1944-12-28,"2nd Lt","SE-44-J","TAAF","Single engine","Texarkana","TX",,0,,,,
"Penn, Starling B.","Penn","Starling B.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","New York","NY",,0,,,,"https://cafriseabove.org/starling-b-penn/"
"Pennington, Leland H.","Pennington","Leland H.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Rochester","NY",,0,,,,"https://cafriseabove.org/leland-h-pennington/"
"Pennington, Robert F.","Pennington","Robert F.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Little Silver","NJ",,0,,,,
"Peoples, Francis B.","Peoples","Francis B.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Henderson","NC",,0,,,,
"Peoples, Henry R..","Peoples","Henry R..",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","St. Louis","MO",,0,,,,
"Perkins, John R., Jr.","Perkins","John R., Jr.",1944-06-27,"Flight Officer","TE-44-F","TAAF","Twin engine","Seattle","WA",,0,,,,
"Perkins, Roscoe C., Jr.","Perkins","Roscoe C., Jr.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Canonsburg","PA",,0,,,,
"Perkins, Sanford M.","Perkins","Sanford M.",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Denver","CO",,0,,,,
"Perry, Henry B.","Perry","Henry B.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Thomasville","GA",,0,,,,"https://cafriseabove.org/henry-buford-herky-perry/"
"Pillow, Robert A.","Pillow","Robert A.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","Nashville","TN",,0,,,,
"Pinkett, John R.","Pinkett","John R.",,"2nd Lt","45-BI-1","TAAF","Service pilot","Washington","DC",,0,,,,
"Pinkney, Harvey N.","Pinkney","Harvey N.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Baltimore","MD",,0,,,,
"Platte, Claude R.","Platte","Claude R.",1948-06-25,"2nd Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Plinton, James O., Jr.","Plinton","James O., Jr.",,"Flight Officer",,"TAAF","Service pilot","Westfield","NJ",,0,,,,
"Polkinghorne, James R.","Polkinghorne","James R.",1943-02-16,"2nd Lt","SE-43-B","TAAF","Single engine","Pensacola","FL",,0,,,,"https://cafriseabove.org/james-r-polkinghorne-jr/"
"Pollard, Henry","Pollard","Henry",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Buffalo","NY",,0,,,,"https://cafriseabove.org/henry-pollard-jr/"
"Pompey, Maurice D.","Pompey","Maurice D.",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","South Bend","IN",,0,,,,
"Ponder, Driskell B.","Ponder","Driskell B.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Porter, Calvin V.","Porter","Calvin V.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Detroit","MI",,0,,,,
"Porter, John H.","Porter","John H.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Cleveland","OH",,0,,,,
"Porter, Robert B.","Porter","Robert B.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Powell, William S., Jr.","Powell","William S., Jr.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Eggertsville","NY",,0,,,,"https://cafriseabove.org/william-s-powell-jr/"
"Prather, George L.","Prather","George L.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Atlanta","GA",,0,,,,
"Prewitt, Mexion O.","Prewitt","Mexion O.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","East Berkley","WV",,0,,,,
"Price, Charles R.","Price","Charles R.",1945-10-16,"Flight Officer","TE-45-G","TAAF","Twin engine","Garden City","KS",,0,,,,
"Price, William S., III","Price","William S., III",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Topeka","KS","Downed 1 Me-109 on March 16, 1945",1,,,,
"Prince, Joseph A.","Prince","Joseph A.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Dayton","OH",,0,,,,
"Proctor, Norman E.","Proctor","Norman E.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Oberlin","OH",,0,,,,
"Proctor, Oliver W.","Proctor","Oliver W.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Norfolk","VA",,0,,,,
"Prowell, John H.","Prowell","John H.",1943-02-16,"2nd Lt","SE-43-B","TAAF","Single engine","Lewisburg","AL",,0,,,,"https://cafriseabove.org/john-h-prowell/"
"Pruitt, Harry S.","Pruitt","Harry S.",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Independence","KS",,0,,,,
"Pruitt, Wendell O.","Pruitt","Wendell O.",1942-12-13,"2nd Lt","SE-42-K","TAAF","Single engine","St. Louis","MO","Downed 1 Me-109 on June 9, 1944; Downed 1 He-111 and 1 Me-109 on October 12, 1944",3,,,,"https://cafriseabove.org/wendell-oliver-pruitt/"
"Pulliam, Richard C.","Pulliam","Richard C.",1942-12-13,"2nd Lt","SE-42-K","TAAF","Single engine","Kansas City","KS",,0,,,,
"Pullian, Glen W.","Pullian","Glen W.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Purchase, Leon","Purchase","Leon",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","New York","NY",,0,,,,
"Purnell, George B.","Purnell","George B.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Purnell, Louis G.","Purnell","Louis G.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Wilmington","DE",,0,,,,
"Qualles, John P.","Qualles","John P.",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Bronx","NY",,0,,,,
"Quander, Charles J., Jr.","Quander","Charles J., Jr.",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Washington","DC",,0,,,,
